toa_us,frequency_mhz,pulse_width_us,aoa_deg,amplitude_db,emitter_id
481.9944921485065,5500.0,1.5,45.0,-15.0,1
1027.3956048555963,3000.0,2.5,120.0,-12.0,0
2000.0,10000.0,1.0,280.0,-18.0,2
17000.0,10000.0,1.0,280.0,-18.0,2
20993.887843975204,3000.0,2.5,120.0,-12.0,0
32000.0,10000.0,1.0,280.0,-18.0,2
35470.44173618506,5500.0,1.5,45.0,-15.0,1
41035.85979199114,3000.0,2.5,120.0,-12.0,0
47000.0,10000.0,1.0,280.0,-18.0,2
53000.0,15000.0,0.5,90.0,-22.0,3
61019.736802905936,3000.0,2.5,120.0,-12.0,0
62000.0,12000.0,1.0,280.0,-18.0,2
63000.0,15000.0,0.5,90.0,-22.0,3
70517.21546265013,5500.0,1.5,45.0,-15.0,1
77000.0,12000.0,1.0,280.0,-18.0,2
80959.41773478876,3000.0,2.5,120.0,-12.0,0
92000.0,12000.0,1.0,280.0,-18.0,2
101047.56223516367,3000.0,2.5,120.0,-12.0,0
105509.89105139552,5500.0,1.5,45.0,-15.0,1
107000.0,12000.0,1.0,280.0,-18.0,2
121026.11397019903,3000.0,2.5,120.0,-12.0,0
122000.0,8000.0,1.0,280.0,-18.0,2
137000.0,8000.0,1.0,280.0,-18.0,2
140512.30992271757,5500.0,1.5,45.0,-15.0,1
141028.6064305277,3000.0,2.5,120.0,-12.0,0
152000.0,8000.0,1.0,280.0,-18.0,2
160962.81136326757,3000.0,2.5,120.0,-12.0,0
167000.0,8000.0,1.0,280.0,-18.0,2
175516.84374186132,5500.0,1.5,45.0,-15.0,1
180995.03859378956,3000.0,2.5,120.0,-12.0,0
182000.0,10000.0,1.0,280.0,-18.0,2
183000.0,15000.0,0.5,90.0,-22.0,3
193000.0,15000.0,0.5,90.0,-22.0,3
197000.0,10000.0,1.0,280.0,-18.0,2
200987.07980242325,3000.0,2.5,120.0,-12.0,0
210497.5349465323,5500.0,1.5,45.0,-15.0,1
212000.0,10000.0,1.0,280.0,-18.0,2
221042.67649888486,3000.0,2.5,120.0,-12.0,0
227000.0,10000.0,1.0,280.0,-18.0,2
241014.38651200806,3000.0,2.5,120.0,-12.0,0
242000.0,12000.0,1.0,280.0,-18.0,2
245504.12447175718,5500.0,1.5,45.0,-15.0,1
257000.0,12000.0,1.0,280.0,-18.0,2
261032.27616132708,3000.0,2.5,120.0,-12.0,0
272000.0,12000.0,1.0,280.0,-18.0,2
280478.38781988766,5500.0,1.5,45.0,-15.0,1
280994.3414198827,3000.0,2.5,120.0,-12.0,0
287000.0,12000.0,1.0,280.0,-18.0,2
293000.0,15000.0,0.5,90.0,-22.0,3
300972.72387217847,3000.0,2.5,120.0,-12.0,0
302000.0,8000.0,1.0,280.0,-18.0,2
315476.87180441216,5500.0,1.5,45.0,-15.0,1
317000.0,8000.0,1.0,280.0,-18.0,2
321005.4584787016,3000.0,2.5,120.0,-12.0,0
332000.0,8000.0,1.0,280.0,-18.0,2
340956.3817256104,3000.0,2.5,120.0,-12.0,0
347000.0,8000.0,1.0,280.0,-18.0,2
350510.10417770746,5500.0,1.5,45.0,-15.0,1
361032.76311719924,3000.0,2.5,120.0,-12.0,0
362000.0,10000.0,1.0,280.0,-18.0,2
377000.0,10000.0,1.0,280.0,-18.0,2
381013.1664399122,3000.0,2.5,120.0,-12.0,0
385498.2657723686,5500.0,1.5,45.0,-15.0,1
392000.0,10000.0,1.0,280.0,-18.0,2
401025.80877400853,3000.0,2.5,120.0,-12.0,0
407000.0,10000.0,1.0,280.0,-18.0,2
420503.91416638886,5500.0,1.5,45.0,-15.0,1
420985.452596813,3000.0,2.5,120.0,-12.0,0
422000.0,12000.0,1.0,280.0,-18.0,2
433000.0,15000.0,0.5,90.0,-22.0,3
437000.0,12000.0,1.0,280.0,-18.0,2
441047.0698024395,3000.0,2.5,120.0,-12.0,0
452000.0,12000.0,1.0,280.0,-18.0,2
453000.0,15000.0,0.5,90.0,-22.0,3
455515.89993144496,5500.0,1.5,45.0,-15.0,1
461039.3121121322,3000.0,2.5,120.0,-12.0,0
467000.0,12000.0,1.0,280.0,-18.0,2
481027.83834970737,3000.0,2.5,120.0,-12.0,0
482000.0,8000.0,1.0,280.0,-18.0,2
490508.08309920004,5500.0,1.5,45.0,-15.0,1
493000.0,15000.0,0.5,90.0,-22.0,3
497000.0,8000.0,1.0,280.0,-18.0,2
500969.4638707852,3000.0,2.5,120.0,-12.0,0
512000.0,8000.0,1.0,280.0,-18.0,2
520996.6721003727,3000.0,2.5,120.0,-12.0,0
525503.2147640395,5500.0,1.5,45.0,-15.0,1
527000.0,8000.0,1.0,280.0,-18.0,2
540954.3803765788,3000.0,2.5,120.0,-12.0,0
542000.0,10000.0,1.0,280.0,-18.0,2
557000.0,10000.0,1.0,280.0,-18.0,2
560503.5524296447,5500.0,1.5,45.0,-15.0,1
560965.4289492067,3000.0,2.5,120.0,-12.0,0
563000.0,15000.0,0.5,90.0,-22.0,3
572000.0,10000.0,1.0,280.0,-18.0,2
581018.3048953243,3000.0,2.5,120.0,-12.0,0
587000.0,10000.0,1.0,280.0,-18.0,2
595488.2370058837,5500.0,1.5,45.0,-15.0,1
601024.4762155908,3000.0,2.5,120.0,-12.0,0
602000.0,12000.0,1.0,280.0,-18.0,2
603000.0,15000.0,0.5,90.0,-22.0,3
617000.0,12000.0,1.0,280.0,-18.0,2
621046.7509732434,3000.0,2.5,120.0,-12.0,0
630471.849070074,5500.0,1.5,45.0,-15.0,1
632000.0,12000.0,1.0,280.0,-18.0,2
640982.5825358138,3000.0,2.5,120.0,-12.0,0
647000.0,12000.0,1.0,280.0,-18.0,2
660987.0459706035,3000.0,2.5,120.0,-12.0,0
662000.0,8000.0,1.0,280.0,-18.0,2
665496.203043354,5500.0,1.5,45.0,-15.0,1
677000.0,8000.0,1.0,280.0,-18.0,2
680996.9555811275,3000.0,2.5,120.0,-12.0,0
692000.0,8000.0,1.0,280.0,-18.0,2
700482.8750803692,5500.0,1.5,45.0,-15.0,1
700968.9471359084,3000.0,2.5,120.0,-12.0,0
703000.0,15000.0,0.5,90.0,-22.0,3
707000.0,8000.0,1.0,280.0,-18.0,2
720962.9921505336,3000.0,2.5,120.0,-12.0,0
722000.0,10000.0,1.0,280.0,-18.0,2
735494.5117186235,5500.0,1.5,45.0,-15.0,1
737000.0,10000.0,1.0,280.0,-18.0,2
740997.5704926226,3000.0,2.5,120.0,-12.0,0
752000.0,10000.0,1.0,280.0,-18.0,2
753000.0,15000.0,0.5,90.0,-22.0,3
760972.6909349051,3000.0,2.5,120.0,-12.0,0
767000.0,10000.0,1.0,280.0,-18.0,2
770521.2041843961,5500.0,1.5,45.0,-15.0,1
781016.9813994683,3000.0,2.5,120.0,-12.0,0
782000.0,12000.0,1.0,280.0,-18.0,2
797000.0,12000.0,1.0,280.0,-18.0,2
800993.7151918872,3000.0,2.5,120.0,-12.0,0
805484.0363691519,5500.0,1.5,45.0,-15.0,1
812000.0,12000.0,1.0,280.0,-18.0,2
813000.0,15000.0,0.5,90.0,-22.0,3
821033.2678196058,3000.0,2.5,120.0,-12.0,0
827000.0,12000.0,1.0,280.0,-18.0,2
840473.4981645014,5500.0,1.5,45.0,-15.0,1
841020.0265102002,3000.0,2.5,120.0,-12.0,0
842000.0,8000.0,1.0,280.0,-18.0,2
843000.0,15000.0,0.5,90.0,-22.0,3
857000.0,8000.0,1.0,280.0,-18.0,2
860981.2366641382,3000.0,2.5,120.0,-12.0,0
872000.0,8000.0,1.0,280.0,-18.0,2
875486.8830335214,5500.0,1.5,45.0,-15.0,1
881033.2259801396,3000.0,2.5,120.0,-12.0,0
887000.0,8000.0,1.0,280.0,-18.0,2
901030.4764357497,3000.0,2.5,120.0,-12.0,0
902000.0,10000.0,1.0,280.0,-18.0,2
910487.615625466,5500.0,1.5,45.0,-15.0,1
917000.0,10000.0,1.0,280.0,-18.0,2
920988.747837903,3000.0,2.5,120.0,-12.0,0
932000.0,10000.0,1.0,280.0,-18.0,2
940978.8328103931,3000.0,2.5,120.0,-12.0,0
945509.7149908836,5500.0,1.5,45.0,-15.0,1
947000.0,10000.0,1.0,280.0,-18.0,2
961018.2495503975,3000.0,2.5,120.0,-12.0,0
962000.0,12000.0,1.0,280.0,-18.0,2
963000.0,15000.0,0.5,90.0,-22.0,3
977000.0,12000.0,1.0,280.0,-18.0,2
980503.4219291405,5500.0,1.5,45.0,-15.0,1
980963.9752483609,3000.0,2.5,120.0,-12.0,0
992000.0,12000.0,1.0,280.0,-18.0,2
